<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	0.89938	0.91350	0.89372	0.91188	33539	0	15
2010.01.05	0.91176	0.91730	0.90911	0.91157	37194	0	15
2010.01.06	0.91156	0.92154	0.90983	0.91924	35090	0	15
2010.01.07	0.91927	0.92644	0.91588	0.91648	36534	0	15
2010.01.08	0.91654	0.92460	0.91228	0.92455	29314	0	15
2010.01.11	0.92784	0.93247	0.92777	0.92909	34147	0	15
2010.01.12	0.92918	0.93054	0.91702	0.92106	39872	0	15
2010.01.13	0.92103	0.92670	0.91888	0.92333	38661	0	15
2010.01.14	0.92432	0.93273	0.92160	0.93125	37118	0	15
2010.01.15	0.93128	0.93136	0.92145	0.92247	37060	0	15
2010.01.18	0.92049	0.92779	0.91735	0.92528	28626	0	15
2010.01.19	0.92531	0.92727	0.91755	0.92372	41260	0	17
2010.01.20	0.92375	0.92381	0.90721	0.91086	50105	0	15
2010.01.21	0.91090	0.91452	0.89921	0.90169	54562	0	15
2010.01.22	0.90175	0.90914	0.89815	0.90042	51511	0	15
2010.01.25	0.90185	0.90920	0.90185	0.90397	41692	0	15
2010.01.26	0.90397	0.90827	0.89375	0.89940	50268	0	15
2010.01.27	0.89942	0.90439	0.89090	0.89638	54147	0	15
2010.01.28	0.89648	0.90466	0.89287	0.89393	53825	0	15
2010.01.29	0.89383	0.89611	0.88324	0.88352	52821	0	15
2010.02.01	0.88309	0.89219	0.87877	0.89218	45796	0	15
2010.02.02	0.89218	0.89254	0.87800	0.88601	46502	0	17
2010.02.03	0.88603	0.89149	0.88053	0.88122	44473	0	18
2010.02.04	0.88112	0.88239	0.86074	0.86652	49040	0	15
2010.02.05	0.86649	0.87169	0.85772	0.86815	55646	0	15
2010.02.08	0.86794	0.87081	0.86135	0.86315	45588	0	15
2010.02.09	0.86313	0.87960	0.86268	0.87870	52037	0	15
2010.02.10	0.87855	0.87911	0.87090	0.87507	45671	0	15
2010.02.11	0.87507	0.89189	0.87485	0.89055	45914	0	17
2010.02.12	0.89055	0.89129	0.87859	0.88763	44757	0	15
2010.02.15	0.88711	0.89091	0.88482	0.88949	20648	0	15
2010.02.16	0.88947	0.90260	0.88759	0.90106	42293	0	15
2010.02.17	0.90126	0.90353	0.89641	0.89781	41837	0	15
2010.02.18	0.89778	0.90245	0.89131	0.89217	46592	0	15
2010.02.19	0.89220	0.89880	0.88781	0.89862	45751	0	15
2010.02.22	0.89987	0.90226	0.89726	0.90054	35566	0	15
2010.02.23	0.90059	0.90702	0.88779	0.89145	45866	0	15
2010.02.24	0.89145	0.89550	0.88566	0.89295	44462	0	15
2010.02.25	0.89297	0.89509	0.88005	0.88755	47530	0	15
2010.02.26	0.88758	0.89781	0.88615	0.89518	43373	0	15
2010.03.01	0.89723	0.90146	0.89344	0.90135	39708	0	15
2010.03.02	0.90133	0.90580	0.89577	0.90336	44702	0	15
2010.03.03	0.90336	0.90848	0.90074	0.90534	41729	0	15
2010.03.04	0.90542	0.90551	0.89779	0.89849	40222	0	15
