<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	1.61210	1.62380	1.60554	1.60877	55538	0	23
2010.01.05	1.60875	1.61510	1.59633	1.59851	56438	0	22
2010.01.06	1.59849	1.60609	1.59361	1.60076	56201	0	20
2010.01.07	1.60086	1.60574	1.58961	1.59258	51772	0	20
2010.01.08	1.59255	1.61093	1.59147	1.60212	41803	0	20
2010.01.11	1.60585	1.61920	1.60585	1.61131	52033	0	20
2010.01.12	1.61135	1.61931	1.60623	1.61676	53984	0	21
2010.01.13	1.61674	1.63055	1.61356	1.62712	57318	0	20
2010.01.14	1.62816	1.63447	1.62495	1.63365	51906	0	20
2010.01.15	1.63368	1.63536	1.62096	1.62627	58999	0	20
2010.01.18	1.62700	1.63775	1.62497	1.63462	47608	0	20
2010.01.19	1.63466	1.64561	1.63114	1.63614	60846	0	20
2010.01.20	1.63619	1.63695	1.62433	1.62960	64418	0	20
2010.01.21	1.62957	1.63107	1.61247	1.61948	66637	0	23
2010.01.22	1.61943	1.62828	1.60777	1.61121	61819	0	20
2010.01.25	1.61060	1.62586	1.60956	1.62453	54257	0	20
2010.01.26	1.62454	1.62672	1.60927	1.61496	60410	0	20
2010.01.27	1.61493	1.62432	1.61068	1.61770	62252	0	22
2010.01.28	1.61766	1.62746	1.61121	1.61231	61642	0	20
2010.01.29	1.61230	1.61782	1.59781	1.59827	59743	0	20
2010.02.01	1.59464	1.59777	1.58500	1.59628	57773	0	22
2010.02.02	1.59634	1.59937	1.59026	1.59765	51409	0	22
2010.02.03	1.59758	1.60681	1.58760	1.59008	52332	0	20
2010.02.04	1.59004	1.59176	1.57304	1.57663	57922	0	22
2010.02.05	1.57660	1.57747	1.55582	1.56397	63853	0	20
2010.02.08	1.55973	1.56584	1.55340	1.55895	56641	0	23
2010.02.09	1.55888	1.57454	1.55616	1.57096	61637	0	23
2010.02.10	1.57059	1.57631	1.55708	1.55975	59181	0	20
2010.02.11	1.55960	1.57157	1.55594	1.56940	58754	0	22
2010.02.12	1.56940	1.57399	1.55810	1.56997	59323	0	20
2010.02.15	1.56651	1.57192	1.56120	1.56660	35786	0	20
2010.02.16	1.56659	1.57939	1.56267	1.57839	52638	0	20
2010.02.17	1.57839	1.58146	1.56658	1.56806	55594	0	20
2010.02.18	1.56812	1.56865	1.54732	1.54818	59207	0	20
