<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	0.72504	0.73517	0.71936	0.73400	25144	0	30
2010.01.05	0.73399	0.73883	0.73146	0.73348	28055	0	30
2010.01.06	0.73353	0.73842	0.73022	0.73694	26686	0	30
2010.01.07	0.73695	0.74271	0.73095	0.73128	28288	0	30
2010.01.08	0.73138	0.73676	0.72852	0.73633	20609	0	30
2010.01.11	0.73885	0.74352	0.73812	0.74113	25829	0	30
2010.01.12	0.74117	0.74305	0.73633	0.73910	27723	0	30
2010.01.13	0.73909	0.74238	0.73698	0.73975	25767	0	30
2010.01.14	0.73980	0.74401	0.73837	0.74220	25125	0	30
2010.01.15	0.74215	0.74249	0.73593	0.73756	24935	0	30
2010.01.18	0.73472	0.74012	0.73275	0.73868	19127	0	30
2010.01.19	0.73857	0.74067	0.73331	0.73433	27661	0	30
2010.01.20	0.73426	0.73441	0.71850	0.72196	35460	0	30
2010.01.21	0.72195	0.72314	0.70961	0.71144	36808	0	30
2010.01.22	0.71145	0.71754	0.70905	0.70939	32648	0	30
2010.01.25	0.71211	0.71674	0.71120	0.71367	27375	0	30
2010.01.26	0.71374	0.71680	0.70229	0.70698	35411	0	30
2010.01.27	0.70701	0.71046	0.70294	0.70666	34295	0	30
2010.01.28	0.70667	0.71363	0.70365	0.70391	33309	0	30
2010.01.29	0.70399	0.70877	0.70062	0.70072	36010	0	30
2010.02.01	0.70287	0.70938	0.69942	0.70899	29613	0	30
2010.02.02	0.70900	0.71343	0.70422	0.71220	30114	0	30
2010.02.03	0.71210	0.71489	0.69685	0.69806	29904	0	30
2010.02.04	0.69787	0.69971	0.68439	0.68756	35764	0	30
2010.02.05	0.68762	0.69306	0.68068	0.68921	38059	0	30
2010.02.08	0.68878	0.69192	0.68158	0.68281	29864	0	30
2010.02.09	0.68277	0.69656	0.68227	0.69597	35694	0	30
2010.02.10	0.69592	0.69665	0.68938	0.69320	29428	0	30
2010.02.11	0.69312	0.70232	0.69280	0.69764	32235	0	30
2010.02.12	0.69774	0.69926	0.68983	0.69722	32142	0	30
2010.02.15	0.69534	0.69879	0.69520	0.69691	21935	0	30
2010.02.16	0.69693	0.70779	0.69642	0.70611	36817	0	30
2010.02.17	0.70611	0.70784	0.70076	0.70179	36464	0	30
2010.02.18	0.70181	0.70597	0.69563	0.69599	42403	0	30
2010.02.19	0.69604	0.69933	0.69298	0.69920	44856	0	30
2010.02.22	0.69987	0.70353	0.69908	0.70123	33925	0	30
2010.02.23	0.70120	0.70575	0.68940	0.69268	41656	0	30
2010.02.24	0.69270	0.69497	0.68703	0.69287	43301	0	30
2010.02.25	0.69290	0.69443	0.68463	0.69089	40820	0	30
2010.02.26	0.69088	0.70148	0.69031	0.69774	35801	0	30
2010.03.01	0.69920	0.70146	0.69295	0.70012	34471	0	30
2010.03.02	0.70010	0.70012	0.69229	0.69550	37649	0	30
2010.03.03	0.69549	0.69851	0.68916	0.69406	36735	0	30
2010.03.04	0.69410	0.69429	0.68507	0.68535	37735	0	30
2010.03.05	0.68539	0.69747	0.68520	0.69664	29664	0	30
2010.03.08	0.69917	0.70346	0.69847	0.69963	26733	0	20
2010.03.09	0.69952	0.70343	0.69608	0.70279	26667	0	30
2010.03.10	0.70270	0.70966	0.70076	0.70206	27015	0	30
2010.03.11	0.70206	0.70218	0.69626	0.69875	25246	0	30
2010.03.12	0.69868	0.70486	0.69828	0.70148	24725	0	30
2010.03.15	0.70250	0.70538	0.69862	0.70107	25465	0	40
2010.03.16	0.70106	0.71309	0.70098	0.71257	28601	0	30
2010.03.17	0.71256	0.71768	0.71024	0.71345	24394	0	30
2010.03.18	0.71360	0.71725	0.71174	0.71420	25280	0	30
2010.03.19	0.71426	0.71550	0.70640	0.70769	20738	0	30
2010.03.22	0.70610	0.70709	0.70003	0.70633	21618	0	30
2010.03.23	0.70654	0.70780	0.70288	0.70553	22729	0	30
2010.03.24	0.70558	0.70563	0.69933	0.70203	24215	0	30
2010.03.25	0.70205	0.71003	0.70144	0.70305	22507	0	30
2010.03.26	0.70314	0.70907	0.70147	0.70339	25800	0	30
2010.03.29	0.70405	0.71153	0.70333	0.70911	19550	0	30
2010.03.30	0.70910	0.71304	0.70810	0.70959	19322	0	30
2010.03.31	0.70944	0.71144	0.70694	0.71063	22835	0	30
2010.04.01	0.71059	0.71093	0.70338	0.70788	20805	0	30
2010.04.02	0.70776	0.70818	0.70492	0.70584	9589	0	30
2010.04.05	0.70620	0.70707	0.70192	0.70315	10856	0	30
2010.04.06	0.70310	0.70720	0.69641	0.70538	21341	0	30
2010.04.07	0.70538	0.70934	0.70261	0.70686	18931	0	30
2010.04.08	0.70685	0.70762	0.70060	0.70689	17522	0	30
2010.04.09	0.70683	0.71727	0.70652	0.71586	19114	0	30
2010.04.12	0.71754	0.71927	0.71086	0.71093	18930	0	30
2010.04.13	0.71107	0.71454	0.70952	0.71311	18502	0	30
2010.04.14	0.71303	0.71521	0.70840	0.71435	20818	0	30
2010.04.15	0.71435	0.71586	0.71024	0.71206	20229	0	30
2010.04.16	0.71210	0.71551	0.70644	0.70808	23773	0	32
2010.04.19	0.70731	0.71424	0.70526	0.71366	24482	0	30
2010.04.20	0.71359	0.71367	0.70820	0.71174	23257	0	30
2010.04.21	0.71173	0.71308	0.70743	0.71003	19736	0	30
2010.04.22	0.70998	0.71384	0.70692	0.71034	22792	0	30
2010.04.23	0.71050	0.71757	0.70830	0.71697	24382	0	30
2010.04.26	0.71683	0.72538	0.71634	0.72244	24384	0	30
2010.04.27	0.72249	0.72313	0.70979	0.71111	25915	0	30
2010.04.28	0.71119	0.72251	0.71099	0.71845	29449	0	30
2010.04.29	0.71854	0.72425	0.71502	0.72343	25651	0	30
2010.04.30	0.72345	0.73241	0.72320	0.72655	24009	0	30
2010.05.03	0.72899	0.73222	0.72654	0.73045	17772	0	30
2010.05.04	0.73046	0.73111	0.71871	0.71970	26666	0	30
2010.05.05	0.71967	0.72179	0.71421	0.71880	29540	0	20
2010.05.06	0.71889	0.72752	0.70084	0.71209	44981	0	30
2010.05.07	0.71206	0.71662	0.70379	0.71410	47692	0	30
2010.05.10	0.72043	0.72951	0.71397	0.72181	33165	0	30
