<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	1.04687	1.05165	1.03507	1.04165	39556	0	15
2010.01.05	1.04162	1.04197	1.03356	1.03874	40320	0	15
2010.01.06	1.03887	1.04080	1.03121	1.03240	39175	0	12
2010.01.07	1.03241	1.03720	1.02910	1.03455	39947	0	18
2010.01.08	1.03451	1.03824	1.02968	1.02972	29040	0	19
2010.01.11	1.03092	1.03424	1.02512	1.03330	38855	0	19
2010.01.12	1.03327	1.04130	1.03126	1.03885	40401	0	20
2010.01.13	1.03885	1.04103	1.02892	1.03040	39962	0	18
2010.01.14	1.03051	1.03211	1.02237	1.02343	37591	0	10
2010.01.15	1.02329	1.03126	1.02321	1.02897	40723	0	17
2010.01.18	1.02970	1.03131	1.02474	1.02614	29257	0	13
2010.01.19	1.02611	1.03462	1.02480	1.03124	42621	0	21
2010.01.20	1.03117	1.04879	1.03095	1.04566	51814	0	20
2010.01.21	1.04565	1.05247	1.04379	1.05149	53812	0	21
2010.01.22	1.05147	1.06012	1.04634	1.05770	51077	0	13
2010.01.25	1.05637	1.06116	1.05319	1.05720	42493	0	16
2010.01.26	1.05722	1.06906	1.05449	1.06261	50297	0	15
2010.01.27	1.06258	1.06866	1.06080	1.06337	43645	0	10
2010.01.28	1.06341	1.06685	1.05555	1.06641	44172	0	10
2010.01.29	1.06645	1.07044	1.06223	1.07030	43908	0	10
2010.02.01	1.06887	1.07201	1.06062	1.06067	41996	0	18
2010.02.02	1.06073	1.06378	1.05646	1.05717	38358	0	12
2010.02.03	1.05717	1.06328	1.05452	1.06156	37208	0	12
2010.02.04	1.06183	1.07510	1.05965	1.07258	40400	0	12
2010.02.05	1.07268	1.07791	1.06435	1.07144	47824	0	12
2010.02.08	1.07019	1.07721	1.06562	1.07609	45410	0	21
2010.02.09	1.07611	1.07613	1.06443	1.06654	55132	0	21
2010.02.10	1.06661	1.07065	1.05972	1.06278	51666	0	20
2010.02.11	1.06265	1.06270	1.04791	1.05016	50807	0	20
2010.02.12	1.05020	1.05775	1.04884	1.05024	51024	0	20
2010.02.15	1.05147	1.05319	1.04625	1.04854	28878	0	10
2010.02.16	1.04876	1.04976	1.04092	1.04400	45394	0	20
2010.02.17	1.04399	1.04700	1.04109	1.04610	45139	0	20
2010.02.18	1.04620	1.05115	1.03965	1.05040	49681	0	12
2010.02.19	1.05033	1.05291	1.03873	1.03906	50842	0	12
2010.02.22	1.03880	1.04399	1.03693	1.04235	41710	0	12
2010.02.23	1.04218	1.05783	1.03805	1.05557	48449	0	12
2010.02.24	1.05551	1.05928	1.05098	1.05338	50248	0	10
2010.02.25	1.05354	1.06792	1.05130	1.06026	47238	0	12
2010.02.26	1.06027	1.06179	1.05102	1.05156	43431	0	10
2010.03.01	1.05191	1.05723	1.04081	1.04111	43835	0	10
2010.03.02	1.04112	1.04419	1.03083	1.03542	46746	0	12
2010.03.03	1.03547	1.03605	1.02737	1.03115	42506	0	10
2010.03.04	1.03115	1.03385	1.02697	1.03062	41757	0	10
