<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	1.03472	1.04186	1.02625	1.02993	42580	0	20
2010.01.05	1.02995	1.03590	1.02519	1.03370	43673	0	10
2010.01.06	1.03371	1.03787	1.02479	1.02804	41920	0	10
2010.01.07	1.02803	1.03699	1.02437	1.03482	42207	0	10
2010.01.08	1.03484	1.03835	1.02250	1.02362	32653	0	14
2010.01.11	1.02376	1.02396	1.01319	1.01598	43026	0	10
2010.01.12	1.01599	1.02074	1.01443	1.01820	40684	0	15
2010.01.13	1.01823	1.02183	1.01369	1.01859	41490	0	10
2010.01.14	1.01800	1.02325	1.01593	1.01863	40536	0	10
2010.01.15	1.01857	1.02856	1.01798	1.02518	45240	0	10
2010.01.18	1.02797	1.02906	1.02350	1.02476	33429	0	15
2010.01.19	1.02475	1.03542	1.02273	1.03258	47265	0	14
2010.01.20	1.03251	1.04616	1.03230	1.04379	53629	0	14
2010.01.21	1.04378	1.04946	1.04034	1.04252	55886	0	15
2010.01.22	1.04273	1.04429	1.03746	1.04116	52032	0	10
2010.01.25	1.04052	1.04232	1.03673	1.03960	43890	0	10
2010.01.26	1.03973	1.04909	1.03780	1.04602	50011	0	10
2010.01.27	1.04602	1.05242	1.04461	1.04915	51038	0	15
2010.01.28	1.04919	1.05538	1.04759	1.05241	51447	0	10
2010.01.29	1.05243	1.06404	1.04819	1.06052	52388	0	14
2010.02.01	1.06143	1.06226	1.05529	1.05593	45069	0	15
2010.02.02	1.05594	1.06060	1.05406	1.05506	43549	0	13
2010.02.03	1.05506	1.05991	1.04972	1.05854	45499	0	15
2010.02.04	1.05879	1.06741	1.05798	1.06671	47231	0	10
2010.02.05	1.06671	1.07937	1.06461	1.07232	59648	0	16
2010.02.08	1.07520	1.07720	1.06831	1.07295	47959	0	15
2010.02.09	1.07298	1.07458	1.06083	1.06413	52492	0	15
2010.02.10	1.06413	1.07198	1.06176	1.06756	47976	0	15
2010.02.11	1.06763	1.07818	1.06261	1.07056	48333	0	15
2010.02.12	1.07054	1.08269	1.06993	1.07536	49370	0	10
2010.02.15	1.07679	1.08025	1.07531	1.07740	30891	0	15
2010.02.16	1.07742	1.07879	1.06525	1.06642	44565	0	15
2010.02.17	1.06638	1.07972	1.06465	1.07830	45604	0	10
2010.02.18	1.07833	1.08636	1.07480	1.08624	49782	0	10
2010.02.19	1.08621	1.08975	1.07490	1.07548	48991	0	13
2010.02.22	1.07676	1.07872	1.07383	1.07555	43876	0	10
2010.02.23	1.07565	1.08477	1.07145	1.08335	51483	0	10
2010.02.24	1.08325	1.08416	1.07383	1.08086	50448	0	10
2010.02.25	1.08085	1.08777	1.07835	1.08072	52080	0	10
2010.02.26	1.08070	1.08156	1.06942	1.07327	49895	0	10
2010.03.01	1.07422	1.08703	1.07195	1.07852	53374	0	10
2010.03.02	1.07856	1.08868	1.07424	1.07524	51631	0	10
2010.03.03	1.07525	1.07626	1.06481	1.06791	53217	0	10
2010.03.04	1.06791	1.07947	1.06683	1.07709	47816	0	10
2010.03.05	1.07709	1.08091	1.07340	1.07398	42003	0	10
2010.03.08	1.07352	1.07475	1.06748	1.07353	32772	0	14
2010.03.09	1.07350	1.08032	1.07260	1.07491	36332	0	13
2010.03.10	1.07491	1.07935	1.06843	1.06993	33914	0	14
2010.03.11	1.06992	1.07302	1.06807	1.06846	31230	0	15
2010.03.12	1.06845	1.06953	1.05758	1.05764	34271	0	15
2010.03.15	1.05889	1.06390	1.05779	1.06196	32060	0	13
2010.03.16	1.06188	1.06255	1.05330	1.05513	37484	0	13
2010.03.17	1.05513	1.05646	1.05064	1.05426	35801	0	15
2010.03.18	1.05430	1.06461	1.05325	1.05762	39708	0	15
2010.03.19	1.05734	1.06342	1.05394	1.06125	35993	0	16
2010.03.22	1.06073	1.06604	1.05619	1.05802	39969	0	10
2010.03.23	1.05799	1.06374	1.05463	1.05745	41935	0	16
2010.03.24	1.05758	1.07378	1.05579	1.07202	44481	0	16
2010.03.25	1.07199	1.07504	1.06729	1.07403	37915	0	15
2010.03.26	1.07402	1.07403	1.06354	1.06500	41365	0	15
2010.03.29	1.06003	1.06893	1.05921	1.06273	34924	0	15
2010.03.30	1.06267	1.06796	1.05870	1.06598	34364	0	15
2010.03.31	1.06604	1.06832	1.04885	1.05387	39890	0	15
2010.04.01	1.05386	1.06095	1.04343	1.05401	38575	0	14
2010.04.02	1.05390	1.06423	1.05381	1.06076	20872	0	16
2010.04.05	1.06158	1.06431	1.05836	1.06231	22832	0	14
2010.04.06	1.06229	1.07211	1.06129	1.06902	35860	0	10
2010.04.07	1.06907	1.07465	1.06796	1.07383	34834	0	14
2010.04.08	1.07375	1.07850	1.07150	1.07305	36603	0	15
2010.04.09	1.07303	1.07616	1.06550	1.06561	37045	0	13
2010.04.12	1.05861	1.06156	1.05500	1.05987	41553	0	15
2010.04.13	1.05987	1.06023	1.05332	1.05379	37066	0	15
2010.04.14	1.05383	1.05598	1.05014	1.05169	38506	0	13
2010.04.15	1.05167	1.06113	1.05062	1.05586	35616	0	15
2010.04.16	1.05584	1.06326	1.05581	1.06126	39571	0	18
2010.04.19	1.06288	1.06893	1.06140	1.06288	36067	0	15
2010.04.20	1.06301	1.06893	1.06018	1.06794	34768	0	10
2010.04.21	1.06800	1.07236	1.06583	1.07007	34148	0	14
2010.04.22	1.07010	1.07984	1.06731	1.07817	39705	0	15
2010.04.23	1.07809	1.08491	1.07143	1.07281	43892	0	15
2010.04.26	1.07456	1.07865	1.06993	1.07131	40135	0	15
2010.04.27	1.07138	1.08980	1.07023	1.08855	49199	0	10
2010.04.28	1.08830	1.09233	1.08141	1.08544	57152	0	15
2010.04.29	1.08525	1.08678	1.08065	1.08316	44818	0	13
2010.04.30	1.08330	1.08455	1.07468	1.07745	39892	0	13
2010.05.03	1.07568	1.08885	1.07536	1.08597	32021	0	10
2010.05.04	1.08609	1.10483	1.08403	1.10416	45161	0	13
2010.05.05	1.10423	1.11958	1.10225	1.11762	54405	0	10
2010.05.06	1.11744	1.12448	1.10168	1.11310	71901	0	15
2010.05.07	1.11314	1.11753	1.10500	1.10791	82134	0	19
2010.05.10	1.09991	1.11161	1.09228	1.10978	84144	0	14
2010.05.11	1.10982	1.11323	1.10353	1.11233	71385	0	10
2010.05.12	1.11228	1.11378	1.10587	1.11023	61341	0	14
2010.05.13	1.11048	1.11920	1.10767	1.11846	48561	0	14
2010.05.14	1.11839	1.13354	1.11507	1.13346	58435	0	16
2010.05.17	1.13397	1.14447	1.12976	1.13101	148544	0	15
2010.05.18	1.13101	1.15147	1.12672	1.15041	74319	0	13
2010.05.19	1.15046	1.15840	1.14230	1.15080	47213	0	15
2010.05.20	1.15140	1.15720	1.14519	1.15145	45112	0	19
2010.05.21	1.15136	1.15797	1.14492	1.14951	65884	0	23
2010.05.24	1.15012	1.16182	1.14900	1.16050	47993	0	15
2010.05.25	1.16018	1.16950	1.15216	1.15489	49247	0	20
2010.05.26	1.15494	1.16230	1.15143	1.16062	48241	0	16
2010.05.27	1.16044	1.16547	1.14846	1.15168	53819	0	18
2010.05.28	1.15164	1.15955	1.14802	1.15897	51048	0	6
2010.05.31	1.15761	1.15916	1.15346	1.15510	36614	0	18
2010.06.01	1.15515	1.17298	1.14707	1.15724	65108	0	18
2010.06.02	1.15713	1.16018	1.15273	1.15468	55897	0	17
2010.06.03	1.15468	1.15716	1.14981	1.15686	50755	1315000000	9
2010.06.04	1.15686	1.16432	1.14297	1.16193	53191	0	17
2010.06.07	1.16370	1.16723	1.15839	1.16327	61000	0	18
2010.06.08	1.16327	1.16403	1.14853	1.15327	60331	0	18
2010.06.09	1.15316	1.15542	1.14152	1.14820	52192	0	14
2010.06.10	1.14808	1.15030	1.13976	1.14325	56504	0	15
2010.06.11	1.14329	1.15454	1.14061	1.14920	62252	0	17
2010.06.14	1.14866	1.14883	1.13497	1.14263	46884	0	15
2010.06.15	1.14265	1.14789	1.12921	1.13359	83979	36000000	6
2010.06.16	1.13359	1.13383	1.12494	1.13167	41664	0	8
2010.06.17	1.13167	1.13286	1.10948	1.11201	44016	0	17
2010.06.18	1.11198	1.11298	1.10810	1.10833	37645	0	15
2010.06.21	1.10242	1.11364	1.10083	1.11142	49806	0	16
2010.06.22	1.11129	1.11195	1.10352	1.10745	46416	0	14
2010.06.23	1.10753	1.11365	1.10204	1.10518	34775	0	16
2010.06.24	1.10523	1.10662	1.09837	1.10197	43184	0	15
2010.06.25	1.10199	1.10462	1.09208	1.09264	33875	0	15
2010.06.28	1.09345	1.09377	1.08162	1.08671	36143	0	15
2010.06.29	1.08669	1.09012	1.08010	1.08173	34435	0	15
2010.06.30	1.08165	1.08543	1.07517	1.07770	39808	0	16
2010.07.01	1.07759	1.07876	1.05778	1.05955	45181	0	11
2010.07.02	1.05953	1.06951	1.05849	1.06259	39668	0	12
2010.07.05	1.06383	1.06730	1.06184	1.06470	24873	0	15
2010.07.06	1.06465	1.06657	1.05610	1.05950	36110	0	15
2010.07.07	1.05949	1.06358	1.05080	1.05207	33104	0	12
2010.07.08	1.05201	1.05630	1.04799	1.04943	32088	0	6
2010.07.09	1.04947	1.05917	1.04890	1.05758	26412	0	11
2010.07.12	1.05539	1.06749	1.05429	1.06040	29525	0	8
2010.07.13	1.06037	1.06454	1.05143	1.05431	90123	0	6
2010.07.14	1.05440	1.06165	1.05096	1.05113	31725	0	17
2010.07.15	1.05110	1.05459	1.04003	1.04153	35638	0	15
2010.07.16	1.04148	1.05412	1.03992	1.05049	31797	0	15
2010.07.19	1.04830	1.05596	1.04465	1.05430	30017	0	15
2010.07.20	1.05433	1.05549	1.04515	1.05194	31890	0	15
2010.07.21	1.05198	1.05418	1.04844	1.05063	32910	0	14
2010.07.22	1.05058	1.05101	1.03936	1.04321	33365	0	15
2010.07.23	1.04321	1.05624	1.04067	1.05433	34086	0	15
2010.07.26	1.05400	1.05549	1.04596	1.04870	30967	0	15
2010.07.27	1.04876	1.06391	1.04809	1.05986	32930	0	15
2010.07.28	1.05991	1.06227	1.05365	1.05666	33432	0	15
2010.07.29	1.05664	1.05785	1.03735	1.04108	31128	0	15
2010.07.30	1.04114	1.04656	1.03614	1.04101	33859	0	13
2010.08.02	1.04008	1.04751	1.03470	1.03907	27488	0	10
2010.08.03	1.03907	1.04131	1.03472	1.03943	27319	0	15
2010.08.04	1.03939	1.05536	1.03782	1.05343	29202	0	15
2010.08.05	1.05344	1.05409	1.04121	1.04626	27301	0	15
2010.08.06	1.04633	1.05073	1.03305	1.03883	26426	0	16
2010.08.09	1.03710	1.04978	1.03710	1.04872	23592	0	14
2010.08.10	1.04869	1.06174	1.04605	1.04802	34121	0	13
2010.08.11	1.04807	1.06240	1.04742	1.06040	35112	0	12
2010.08.12	1.06039	1.06054	1.04643	1.04979	33336	0	11
2010.08.13	1.04977	1.05475	1.04816	1.05089	29682	0	14
2010.08.16	1.04801	1.05330	1.03501	1.03933	33970	0	12
2010.08.17	1.03926	1.04469	1.03613	1.04335	32963	0	15
2010.08.18	1.04333	1.04512	1.03845	1.04240	29627	0	15
2010.08.19	1.04235	1.04578	1.02572	1.03219	37443	0	14
2010.08.20	1.03210	1.03917	1.02865	1.03384	31293	0	11
2010.08.23	1.03481	1.04142	1.03011	1.04125	28654	0	15
2010.08.24	1.04127	1.04497	1.02861	1.03165	36779	0	14
2010.08.25	1.03164	1.03280	1.02473	1.02960	35081	0	15
2010.08.26	1.02957	1.03177	1.02215	1.02378	33758	0	15
2010.08.27	1.02387	1.03042	1.02197	1.02780	32631	0	15
2010.08.30	1.02740	1.03083	1.02364	1.02569	24212	0	13
2010.08.31	1.02555	1.02593	1.01353	1.01423	33661	0	11
2010.09.01	1.01421	1.01811	1.00640	1.01570	27067	0	11
2010.09.02	1.01566	1.01841	1.00951	1.01300	22677	0	10
2010.09.03	1.01304	1.02373	1.01196	1.01624	19868	0	10
2010.09.06	1.01640	1.01821	1.01055	1.01088	16488	0	10
2010.09.07	1.01094	1.01461	1.00791	1.01108	22689	0	10
2010.09.08	1.01115	1.01381	1.00599	1.01112	30040	0	15
2010.09.09	1.01114	1.01663	1.00989	1.01510	28810	0	15
2010.09.10	1.01500	1.02769	1.01349	1.01963	34068	0	15
2010.09.13	1.01911	1.02053	1.00704	1.00745	33355	0	11
2010.09.14	1.00755	1.00859	0.99321	0.99585	36366	0	13
2010.09.15	0.99585	1.00478	0.99464	1.00286	36644	0	12
2010.09.16	1.00277	1.01697	0.99973	1.01573	34836	0	11
2010.09.17	1.01570	1.01814	1.00700	1.00959	34924	0	14
2010.09.20	1.01050	1.01170	1.00280	1.00493	20836	0	14
2010.09.21	1.00500	1.00735	0.99606	0.99707	33434	0	10
2010.09.22	0.99703	0.99820	0.98383	0.98663	28543	0	15
2010.09.23	0.98665	0.98987	0.98075	0.98554	33868	0	13
2010.09.24	0.98540	0.98801	0.97800	0.98282	18138	0	14
