<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	92.918	93.206	92.181	92.409	42006	0	10
2010.01.05	92.408	92.531	91.247	91.723	42817	0	10
2010.01.06	91.725	92.734	91.516	92.341	41448	0	10
2010.01.07	92.339	93.748	92.103	93.589	43120	0	10
2010.01.08	93.582	93.652	92.277	92.650	35526	0	10
2010.01.11	92.571	92.655	91.807	92.049	35963	0	10
2010.01.12	92.052	92.418	90.740	91.129	43788	0	10
2010.01.13	91.128	91.548	90.903	91.364	40486	0	10
2010.01.14	91.447	92.037	90.839	91.246	40318	0	10
2010.01.15	91.238	91.312	90.597	90.757	42358	0	10
2010.01.18	90.900	91.054	90.615	90.662	32396	0	10
2010.01.19	90.662	91.257	90.310	91.128	46162	0	10
2010.01.20	91.128	91.450	90.785	91.255	47247	0	10
2010.01.21	91.255	91.868	90.106	90.409	54287	0	10
2010.01.22	90.416	90.552	89.775	89.812	56078	0	10
2010.01.25	89.929	90.327	89.812	90.237	40703	0	10
2010.01.26	90.238	90.540	89.338	89.616	53354	0	10
2010.01.27	89.618	90.072	89.132	89.976	52751	0	10
2010.01.28	89.986	90.537	89.626	89.878	49117	0	10
2010.01.29	89.883	90.909	89.577	90.255	49013	0	10
2010.02.01	90.205	90.931	89.987	90.697	42045	0	10
2010.02.02	90.697	90.903	90.280	90.366	38999	0	11
2010.02.03	90.377	91.265	90.068	90.957	39257	0	10
2010.02.04	90.958	91.067	88.572	89.114	43124	0	10
2010.02.05	89.115	89.865	88.816	89.237	53385	0	10
2010.02.08	89.145	89.556	89.136	89.266	40194	0	10
2010.02.09	89.264	89.918	89.200	89.804	45008	0	10
2010.02.10	89.793	90.048	89.238	89.955	42541	0	10
2010.02.11	89.955	90.131	89.566	89.709	35458	0	10
2010.02.12	89.721	90.404	89.581	89.943	40870	0	10
2010.02.15	90.009	90.223	89.909	90.027	24499	0	10
2010.02.16	90.022	90.497	89.706	90.194	40206	0	10
2010.02.17	90.188	91.368	90.147	91.161	45390	0	10
2010.02.18	91.168	92.041	90.573	92.008	48112	0	10
2010.02.19	92.006	92.141	91.489	91.505	40960	0	10
2010.02.22	91.634	91.891	91.019	91.199	32490	0	10
2010.02.23	91.204	91.288	89.920	90.200	38604	0	10
2010.02.24	90.204	90.352	89.761	90.179	35990	0	10
2010.02.25	90.175	90.309	88.801	89.151	42969	0	10
2010.02.26	89.150	89.494	88.741	88.956	38452	0	10
2010.03.01	88.931	89.473	88.807	89.163	34571	0	10
2010.03.02	89.163	89.370	88.550	88.750	36998	0	10
2010.03.03	88.763	88.989	88.318	88.521	39887	0	10
2010.03.04	88.519	89.248	88.136	89.109	38488	0	10
2010.03.05	89.102	90.584	89.102	90.270	34248	0	10
2010.03.08	90.599	90.656	90.149	90.280	26418	0	9
2010.03.09	90.281	90.312	89.630	89.899	28427	0	9
2010.03.10	89.901	90.816	89.896	90.510	25465	0	9
2010.03.11	90.507	90.705	90.206	90.604	25173	0	9
2010.03.12	90.600	91.080	90.166	90.548	29361	0	11
2010.03.15	90.597	90.788	90.352	90.418	27594	0	10
2010.03.16	90.421	90.731	89.974	90.320	33735	0	10
2010.03.17	90.328	90.705	90.027	90.375	32507	0	10
2010.03.18	90.373	90.794	89.762	90.469	36548	0	10
2010.03.19	90.459	90.710	90.331	90.535	24908	0	10
2010.03.22	90.505	90.766	89.830	90.140	23725	0	9
2010.03.23	90.144	90.466	90.127	90.392	27581	0	10
2010.03.24	90.394	92.388	90.346	92.113	36239	0	10
2010.03.25	92.109	92.949	91.757	92.708	33557	0	11
2010.03.26	92.695	92.888	92.301	92.505	31486	0	10
2010.03.29	92.436	92.780	92.350	92.544	30213	0	10
2010.03.30	92.534	93.008	92.116	92.777	33430	0	10
2010.03.31	92.756	93.626	92.746	93.443	42008	0	10
2010.04.01	93.433	94.035	93.278	93.868	33787	0	10
2010.04.02	93.855	94.683	93.618	94.596	23342	0	12
2010.04.05	94.643	94.643	94.079	94.313	20823	0	10
2010.04.06	94.311	94.366	93.657	93.750	33158	0	12
2010.04.07	93.729	94.251	93.145	93.250	33383	0	10
2010.04.08	93.262	93.475	92.827	93.382	33712	0	12
2010.04.09	93.384	93.776	93.109	93.166	29914	0	10
2010.04.12	93.177	93.597	93.027	93.206	31878	0	10
2010.04.13	93.196	93.403	92.570	93.181	36115	0	10
2010.04.14	93.178	93.710	92.821	93.264	36374	0	10
2010.04.15	93.266	93.515	92.864	93.074	35493	0	10
2010.04.16	93.073	93.134	91.898	92.162	42463	0	10
2010.04.19	92.006	92.525	91.595	92.415	36664	0	10
2010.04.20	92.415	93.387	92.388	93.210	32883	0	10
2010.04.21	93.206	93.435	92.931	93.130	33965	0	11
2010.04.22	93.145	93.599	92.738	93.450	40103	0	10
2010.04.23	93.449	94.304	93.306	93.952	36943	0	10
2010.04.26	94.096	94.350	93.887	94.005	36659	0	10
2010.04.27	94.004	94.018	92.811	93.114	45834	0	10
2010.04.28	93.126	94.307	92.986	94.149	50091	0	10
2010.04.29	94.147	94.256	93.846	94.094	34209	0	10
2010.04.30	94.095	94.578	93.824	93.838	38368	0	9
2010.05.03	93.932	94.776	93.838	94.579	27890	0	9
2010.05.04	94.578	94.975	94.319	94.659	37918	0	10
2010.05.05	94.672	94.978	93.533	93.958	43661	0	10
2010.05.06	93.957	93.972	88.254	90.854	67075	0	13
2010.05.07	90.831	93.201	90.007	91.581	84359	0	16
2010.05.10	92.676	93.533	91.759	93.342	60346	0	10
2010.05.11	93.342	93.383	92.211	92.658	53507	0	9
2010.05.12	92.652	93.278	92.439	93.241	47595	0	13
2010.05.13	93.229	93.623	92.585	92.683	43034	0	10
2010.05.14	92.700	93.080	91.799	92.446	47745	0	11
2010.05.17	92.328	92.688	91.758	92.591	129194	0	10
2010.05.18	92.584	92.962	91.907	92.041	52971	0	10
2010.05.19	92.060	92.144	90.950	91.800	39327	0	11
