<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.03	1418.65	1423.80	1412.80	1413.85	17713	0	50
2011.01.04	1415.20	1417.10	1374.65	1381.15	26224	0	0
2011.01.05	1381.60	1384.70	1363.85	1378.45	26788	0	50
2011.01.06	1377.35	1379.75	1364.55	1370.90	25530	0	50
2011.01.07	1371.30	1378.75	1352.70	1369.00	28870	0	0
2011.01.10	1370.10	1375.90	1365.40	1375.40	22041	0	50
2011.01.11	1374.40	1386.65	1372.65	1381.05	23375	0	50
2011.01.12	1381.30	1388.75	1376.55	1387.90	22809	0	50
2011.01.13	1386.00	1393.00	1369.45	1373.30	24234	0	50
2011.01.14	1372.75	1377.90	1354.90	1361.75	26905	0	0
2011.01.17	1361.45	1365.60	1357.10	1361.00	12692	0	50
2011.01.18	1361.00	1376.15	1360.20	1367.55	22074	0	50
2011.01.19	1366.75	1379.05	1365.60	1369.55	22732	0	50
2011.01.20	1367.75	1371.10	1343.15	1346.00	19793	0	50
2011.01.21	1347.15	1350.10	1337.65	1342.45	24676	0	50
2011.01.24	1349.20	1350.40	1332.40	1333.80	15250	0	50
2011.01.25	1335.15	1338.40	1322.55	1331.90	28019	0	30
2011.01.26	1332.40	1346.60	1324.90	1345.85	26411	0	0
2011.01.27	1343.80	1347.75	1310.20	1314.45	29804	0	50
2011.01.28	1314.30	1346.85	1308.15	1336.40	34770	0	50
2011.01.31	1339.85	1345.50	1322.95	1332.20	31759	0	50
2011.02.01	1332.20	1342.85	1325.35	1341.75	22420	0	50
2011.02.02	1341.90	1342.85	1326.55	1334.75	24121	0	50
2011.02.03	1335.10	1355.90	1324.75	1354.70	19602	0	0
2011.02.04	1351.55	1358.25	1345.00	1348.60	22421	0	50
2011.02.07	1343.90	1353.25	1343.30	1351.75	19417	0	50
2011.02.08	1351.25	1368.00	1348.35	1363.80	15706	0	50
2011.02.09	1362.85	1366.90	1357.85	1363.50	20281	0	50
2011.02.10	1363.20	1366.05	1350.95	1363.10	20599	0	0
2011.02.11	1363.00	1368.40	1354.00	1356.60	21898	0	50
2011.02.14	1357.30	1366.70	1353.95	1361.60	17967	0	50
2011.02.15	1361.40	1376.55	1360.70	1373.25	18494	0	50
2011.02.16	1372.90	1381.95	1367.90	1374.50	21528	0	50
2011.02.17	1375.15	1384.80	1374.15	1384.00	15500	0	50
2011.02.18	1383.95	1391.80	1381.55	1389.90	20086	0	50
2011.02.21	1390.30	1408.15	1389.70	1406.10	14768	0	50
2011.02.22	1408.20	1410.70	1392.70	1398.10	25396	0	50
2011.02.23	1399.45	1416.50	1395.55	1411.80	21240	0	0
2011.02.24	1411.00	1418.15	1391.65	1402.10	27827	0	50
2011.02.25	1402.25	1411.65	1399.60	1410.30	20799	0	0
2011.02.28	1407.75	1416.35	1404.70	1411.85	22543	0	50
2011.03.01	1411.10	1434.80	1409.35	1433.20	22685	0	0
2011.03.02	1432.65	1440.15	1427.65	1434.45	22795	0	50
2011.03.03	1435.05	1436.15	1410.15	1415.55	23339	0	50
2011.03.04	1416.20	1432.05	1413.05	1430.55	17371	0	50
2011.03.07	1433.90	1444.55	1427.90	1431.40	28276	0	50
2011.03.08	1431.05	1436.75	1423.10	1429.15	23336	0	0
2011.03.09	1428.05	1436.30	1423.00	1431.30	18699	0	50
2011.03.10	1431.30	1431.30	1402.90	1411.45	27058	0	0
2011.03.11	1410.65	1423.85	1404.70	1417.50	26057	0	45
2011.03.14	1429.95	1430.50	1418.35	1425.95	22144	0	50
2011.03.15	1426.00	1427.45	1380.70	1394.85	35291	0	50
2011.03.16	1393.00	1406.00	1391.60	1394.50	19899	0	50
2011.03.17	1392.25	1405.05	1386.30	1403.25	24041	0	35
2011.03.18	1405.15	1423.90	1404.85	1419.25	16831	0	50
2011.03.21	1425.25	1434.65	1423.60	1426.15	17866	0	50
2011.03.22	1426.65	1432.00	1419.45	1428.10	17814	0	0
2011.03.23	1427.45	1440.90	1425.65	1436.40	17557	0	0
2011.03.24	1437.90	1447.55	1423.65	1431.50	22038	0	0
2011.03.25	1431.40	1437.75	1422.05	1429.20	15111	0	50
2011.03.28	1424.65	1428.05	1409.90	1420.50	18811	0	50
2011.03.29	1420.85	1423.15	1410.95	1418.35	13187	0	50
2011.03.30	1418.45	1430.20	1411.95	1422.95	19371	0	50
2011.03.31	1422.70	1439.45	1420.35	1431.65	19487	0	40
2011.04.01	1433.05	1436.10	1412.50	1428.20	24438	0	50
2011.04.04	1428.10	1438.65	1427.70	1434.05	11705	0	50
2011.04.05	1434.60	1457.00	1429.75	1455.85	21477	0	50
2011.04.06	1456.30	1462.20	1451.30	1459.30	19863	0	50
2011.04.07	1461.35	1465.00	1452.70	1458.25	21490	0	50
2011.04.08	1458.70	1474.95	1456.40	1474.45	20352	0	50
2011.04.11	1474.75	1476.25	1459.30	1462.80	23405	0	50
2011.04.12	1461.35	1467.15	1444.00	1453.20	27688	0	50
2011.04.13	1452.05	1462.10	1451.10	1456.85	23381	0	50
2011.04.14	1457.30	1475.40	1452.35	1475.00	26143	0	50
2011.04.15	1474.05	1488.10	1471.35	1486.65	26619	0	50
2011.04.18	1486.00	1497.80	1477.20	1495.70	29567	0	40
2011.04.19	1494.30	1499.20	1487.40	1494.90	17112	0	50
2011.04.20	1494.15	1505.80	1492.75	1501.35	24409	0	50
2011.04.21	1500.60	1508.85	1500.20	1503.50	24384	0	0
2011.04.25	1511.55	1518.10	1501.75	1506.85	33064	0	50
2011.04.26	1507.60	1507.95	1492.65	1506.30	26121	0	50
2011.04.27	1506.05	1530.05	1502.95	1526.85	31171	0	50
2011.04.28	1526.05	1538.30	1523.75	1535.75	32004	0	50
2011.04.29	1534.35	1569.20	1531.70	1563.20	28064	0	50
2011.05.02	1569.40	1576.80	1540.20	1544.95	53936	0	50
2011.05.03	1539.95	1550.90	1527.00	1538.05	47664	0	50
2011.05.04	1535.65	1543.20	1505.80	1516.15	47315	0	50
2011.05.05	1515.10	1521.85	1462.45	1474.50	57686	0	50
2011.05.06	1475.40	1498.35	1470.95	1495.30	53893	0	50
2011.05.09	1493.80	1513.95	1489.10	1512.85	35284	0	50
2011.05.10	1510.90	1519.35	1505.85	1515.70	30305	0	0
2011.05.11	1515.90	1526.40	1495.55	1500.50	38969	0	50
2011.05.12	1500.05	1507.80	1477.95	1506.45	47412	0	50
2011.05.13	1506.10	1516.40	1482.65	1494.95	40430	0	50
2011.05.16	1492.65	1504.40	1487.05	1490.20	30623	0	50
